test_type,test_name,extra_param,regressor,n,d,h_label,mean_result
CIT,RCIT_test,TRUE,,200,10,Null,0.166
CIT,RCIT_test,FALSE,,200,10,Null,0.202
CIT,PCM_test,TRUE,lm,200,10,Null,0.034
CIT,PCM_test,TRUE,rf,200,10,Null,0.06
CIT,PCM_test,TRUE,xgboost,200,10,Null,0.104
CIT,PCM_test,FALSE,lm,200,10,Null,0.044
CIT,PCM_test,FALSE,rf,200,10,Null,0.064
CIT,PCM_test,FALSE,xgboost,200,10,Null,0.0980000000000001
CIT,GCM_test,TRUE,lm,200,10,Null,0.048
CIT,GCM_test,TRUE,rf,200,10,Null,0.028
CIT,GCM_test,TRUE,xgboost,200,10,Null,0.0820000000000001
CIT,GCM_test,FALSE,lm,200,10,Null,0.032
CIT,GCM_test,FALSE,rf,200,10,Null,0.036
CIT,GCM_test,FALSE,xgboost,200,10,Null,0.0740000000000001
CIT,WGSC_test,TRUE,lm,200,10,Null,0
CIT,WGSC_test,TRUE,rf,200,10,Null,0.286
CIT,WGSC_test,TRUE,xgboost,200,10,Null,0.076
CIT,WGSC_test,FALSE,lm,200,10,Null,0
CIT,WGSC_test,FALSE,rf,200,10,Null,0.074
CIT,WGSC_test,FALSE,xgboost,200,10,Null,0.052
CIT,RCIT_test,TRUE,,200,10,Alternative,0.24
CIT,RCIT_test,FALSE,,200,10,Alternative,0.362
CIT,PCM_test,TRUE,lm,200,10,Alternative,0.038
CIT,PCM_test,TRUE,rf,200,10,Alternative,0.068
CIT,PCM_test,TRUE,xgboost,200,10,Alternative,0.102
CIT,PCM_test,FALSE,lm,200,10,Alternative,0.046
CIT,PCM_test,FALSE,rf,200,10,Alternative,0.078
CIT,PCM_test,FALSE,xgboost,200,10,Alternative,0.104
CIT,GCM_test,TRUE,lm,200,10,Alternative,0.164
CIT,GCM_test,TRUE,rf,200,10,Alternative,0.076
CIT,GCM_test,TRUE,xgboost,200,10,Alternative,0.144
CIT,GCM_test,FALSE,lm,200,10,Alternative,0.3
CIT,GCM_test,FALSE,rf,200,10,Alternative,0.178
CIT,GCM_test,FALSE,xgboost,200,10,Alternative,0.268
CIT,WGSC_test,TRUE,lm,200,10,Alternative,0
CIT,WGSC_test,TRUE,rf,200,10,Alternative,0.284
CIT,WGSC_test,TRUE,xgboost,200,10,Alternative,0.082
CIT,WGSC_test,FALSE,lm,200,10,Alternative,0
CIT,WGSC_test,FALSE,rf,200,10,Alternative,0.082
CIT,WGSC_test,FALSE,xgboost,200,10,Alternative,0.0740000000000001
CIT,RCIT_test,TRUE,,500,10,Null,0.056
CIT,RCIT_test,FALSE,,500,10,Null,0.21
CIT,PCM_test,TRUE,lm,500,10,Null,0.0660000000000001
CIT,PCM_test,TRUE,rf,500,10,Null,0.066
CIT,PCM_test,TRUE,xgboost,500,10,Null,0.0740000000000001
CIT,PCM_test,FALSE,lm,500,10,Null,0.04
CIT,PCM_test,FALSE,rf,500,10,Null,0.06
CIT,PCM_test,FALSE,xgboost,500,10,Null,0.078
CIT,GCM_test,TRUE,lm,500,10,Null,0.0360000000000001
CIT,GCM_test,TRUE,rf,500,10,Null,0.024
CIT,GCM_test,TRUE,xgboost,500,10,Null,0.06
CIT,GCM_test,FALSE,lm,500,10,Null,0.046
CIT,GCM_test,FALSE,rf,500,10,Null,0.05
CIT,GCM_test,FALSE,xgboost,500,10,Null,0.064
CIT,WGSC_test,TRUE,lm,500,10,Null,0
CIT,WGSC_test,TRUE,rf,500,10,Null,0.248
CIT,WGSC_test,TRUE,xgboost,500,10,Null,0.0500000000000001
CIT,WGSC_test,FALSE,lm,500,10,Null,0
CIT,WGSC_test,FALSE,rf,500,10,Null,0.0740000000000001
CIT,WGSC_test,FALSE,xgboost,500,10,Null,0.076
CIT,RCIT_test,TRUE,,500,10,Alternative,0.228
CIT,RCIT_test,FALSE,,500,10,Alternative,0.536
CIT,PCM_test,TRUE,lm,500,10,Alternative,0.07
CIT,PCM_test,TRUE,rf,500,10,Alternative,0.092
CIT,PCM_test,TRUE,xgboost,500,10,Alternative,0.1
CIT,PCM_test,FALSE,lm,500,10,Alternative,0.038
CIT,PCM_test,FALSE,rf,500,10,Alternative,0.138
CIT,PCM_test,FALSE,xgboost,500,10,Alternative,0.126
CIT,GCM_test,TRUE,lm,500,10,Alternative,0.356
CIT,GCM_test,TRUE,rf,500,10,Alternative,0.17
CIT,GCM_test,TRUE,xgboost,500,10,Alternative,0.296
CIT,GCM_test,FALSE,lm,500,10,Alternative,0.552
CIT,GCM_test,FALSE,rf,500,10,Alternative,0.444
CIT,GCM_test,FALSE,xgboost,500,10,Alternative,0.602
CIT,WGSC_test,TRUE,lm,500,10,Alternative,0
CIT,WGSC_test,TRUE,rf,500,10,Alternative,0.25
CIT,WGSC_test,TRUE,xgboost,500,10,Alternative,0.048
CIT,WGSC_test,FALSE,lm,500,10,Alternative,0
CIT,WGSC_test,FALSE,rf,500,10,Alternative,0.08
CIT,WGSC_test,FALSE,xgboost,500,10,Alternative,0.078
CIT,RCIT_test,TRUE,,1000,10,Null,0.064
CIT,RCIT_test,FALSE,,1000,10,Null,0.296
CIT,PCM_test,TRUE,lm,1000,10,Null,0.05
CIT,PCM_test,TRUE,rf,1000,10,Null,0.05
CIT,PCM_test,TRUE,xgboost,1000,10,Null,0.06
CIT,PCM_test,FALSE,lm,1000,10,Null,0.056
CIT,PCM_test,FALSE,rf,1000,10,Null,0.038
CIT,PCM_test,FALSE,xgboost,1000,10,Null,0.068
CIT,GCM_test,TRUE,lm,1000,10,Null,0.048
CIT,GCM_test,TRUE,rf,1000,10,Null,0.024
CIT,GCM_test,TRUE,xgboost,1000,10,Null,0.06
CIT,GCM_test,FALSE,lm,1000,10,Null,0.0440000000000001
CIT,GCM_test,FALSE,rf,1000,10,Null,0.062
CIT,GCM_test,FALSE,xgboost,1000,10,Null,0.058
CIT,WGSC_test,TRUE,lm,1000,10,Null,0
CIT,WGSC_test,TRUE,rf,1000,10,Null,0.268
CIT,WGSC_test,TRUE,xgboost,1000,10,Null,0.056
CIT,WGSC_test,FALSE,lm,1000,10,Null,0
CIT,WGSC_test,FALSE,rf,1000,10,Null,0.054
CIT,WGSC_test,FALSE,xgboost,1000,10,Null,0.026
CIT,RCIT_test,TRUE,,1000,10,Alternative,0.394
CIT,RCIT_test,FALSE,,1000,10,Alternative,0.762
CIT,PCM_test,TRUE,lm,1000,10,Alternative,0.05
CIT,PCM_test,TRUE,rf,1000,10,Alternative,0.098
CIT,PCM_test,TRUE,xgboost,1000,10,Alternative,0.124
CIT,PCM_test,FALSE,lm,1000,10,Alternative,0.054
CIT,PCM_test,FALSE,rf,1000,10,Alternative,0.178
CIT,PCM_test,FALSE,xgboost,1000,10,Alternative,0.182
CIT,GCM_test,TRUE,lm,1000,10,Alternative,0.586
CIT,GCM_test,TRUE,rf,1000,10,Alternative,0.262
CIT,GCM_test,TRUE,xgboost,1000,10,Alternative,0.516
CIT,GCM_test,FALSE,lm,1000,10,Alternative,0.764
CIT,GCM_test,FALSE,rf,1000,10,Alternative,0.65
CIT,GCM_test,FALSE,xgboost,1000,10,Alternative,0.858
CIT,WGSC_test,TRUE,lm,1000,10,Alternative,0
CIT,WGSC_test,TRUE,rf,1000,10,Alternative,0.268
CIT,WGSC_test,TRUE,xgboost,1000,10,Alternative,0.054
CIT,WGSC_test,FALSE,lm,1000,10,Alternative,0
CIT,WGSC_test,FALSE,rf,1000,10,Alternative,0.0740000000000001
CIT,WGSC_test,FALSE,xgboost,1000,10,Alternative,0.044
CIT,RCIT_test,TRUE,,2000,10,Null,0.048
CIT,RCIT_test,FALSE,,2000,10,Null,0.5
CIT,PCM_test,TRUE,lm,2000,10,Null,0.0540000000000001
CIT,PCM_test,TRUE,rf,2000,10,Null,0.03
CIT,PCM_test,TRUE,xgboost,2000,10,Null,0.056
CIT,PCM_test,FALSE,lm,2000,10,Null,0.036
CIT,PCM_test,FALSE,rf,2000,10,Null,0.042
CIT,PCM_test,FALSE,xgboost,2000,10,Null,0.056
CIT,GCM_test,TRUE,lm,2000,10,Null,0.046
CIT,GCM_test,TRUE,rf,2000,10,Null,0.028
CIT,GCM_test,TRUE,xgboost,2000,10,Null,0.062
CIT,GCM_test,FALSE,lm,2000,10,Null,0.048
CIT,GCM_test,FALSE,rf,2000,10,Null,0.054
CIT,GCM_test,FALSE,xgboost,2000,10,Null,0.048
CIT,WGSC_test,TRUE,lm,2000,10,Null,0
CIT,WGSC_test,TRUE,rf,2000,10,Null,0.282
CIT,WGSC_test,TRUE,xgboost,2000,10,Null,0.016
CIT,WGSC_test,FALSE,lm,2000,10,Null,0
CIT,WGSC_test,FALSE,rf,2000,10,Null,0.048
CIT,WGSC_test,FALSE,xgboost,2000,10,Null,0.022
CIT,RCIT_test,TRUE,,2000,10,Alternative,0.61
CIT,RCIT_test,FALSE,,2000,10,Alternative,0.914
CIT,PCM_test,TRUE,lm,2000,10,Alternative,0.0500000000000001
CIT,PCM_test,TRUE,rf,2000,10,Alternative,0.112
CIT,PCM_test,TRUE,xgboost,2000,10,Alternative,0.11
CIT,PCM_test,FALSE,lm,2000,10,Alternative,0.036
CIT,PCM_test,FALSE,rf,2000,10,Alternative,0.292
CIT,PCM_test,FALSE,xgboost,2000,10,Alternative,0.272
CIT,GCM_test,TRUE,lm,2000,10,Alternative,0.796
CIT,GCM_test,TRUE,rf,2000,10,Alternative,0.502
CIT,GCM_test,TRUE,xgboost,2000,10,Alternative,0.82
CIT,GCM_test,FALSE,lm,2000,10,Alternative,0.89
CIT,GCM_test,FALSE,rf,2000,10,Alternative,0.812
CIT,GCM_test,FALSE,xgboost,2000,10,Alternative,0.998
CIT,WGSC_test,TRUE,lm,2000,10,Alternative,0
CIT,WGSC_test,TRUE,rf,2000,10,Alternative,0.284
CIT,WGSC_test,TRUE,xgboost,2000,10,Alternative,0.024
CIT,WGSC_test,FALSE,lm,2000,10,Alternative,0
CIT,WGSC_test,FALSE,rf,2000,10,Alternative,0.086
CIT,WGSC_test,FALSE,xgboost,2000,10,Alternative,0.028
